OBJECTID,NAME,NAME_2,COUNTY,CITY,OWNER,MANAGEMENT,TYPE,SOURCE,ACRES,GlobalID,last_edited_date,Ownership
85,Ray Kluka Memorial Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.04518726,{3D1FEC88-714F-470E-9A80-64A65C306A56},2022/04/05 20:15:23+00,Public
86,Yonah Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,2.0176925,{5D4F771A-632C-44B8-B8A5-7FFE1CC4DB49},2022/04/05 20:15:23+00,Public
87,Winn Park, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,9.99551519,{8C56797A-FC17-45A5-A459-E99F31A7A2F9},2022/04/05 20:15:23+00,Public
88,Peachtree Circle at 15th St Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.10730558,{DC665EAA-AD7D-4B48-A0D4-1299AA452169},2022/04/05 20:15:23+00,Public
89,Lafayette-15th Street Triangle, ,Fulton,Atlanta,City of Atlanta,City of Atlanta,Public Park,Georgia Tech,0.04253242,{C79FD4D8-6239-4AA6-961F-0B13FF2C7670},2022/04/05 20:15:23+00,Public
90,Whitaker Park, ,Cobb,Marietta,City of Marietta,Marietta Parks and Recreation,Public Park,Georgia Tech,2.31481471,{07B9D4C3-99AD-428C-8858-B738923F8D44},2022/04/05 20:15:23+00,Public
91,Laurel Park, ,Cobb,Marietta,City of Marietta,Marietta Parks and Recreation,Recreational Facility,Georgia Tech,24.67670581,{01130641-F349-4E59-95BA-F4495D9CA39B},2022/04/05 20:15:24+00,Public
92,Merritt Park, ,Cobb,Marietta,City of Marietta,Marietta Parks and Recreation,Recreational Facility,Georgia Tech,5.09781033,{DFE3DBC1-9F37-4A04-815C-241F1A047C2D},2022/04/05 20:15:24+00,Public
93,Lewis Park, ,Cobb,Marietta,City of Marietta,Marietta Parks and Recreation,Recreational Facility,Georgia Tech,6.86656246,{28C3BA15-8E81-441F-B254-43A8CD070F74},2022/04/05 20:15:24+00,Public
94,Birney Street Park, ,Cobb,Marietta,City of Marietta,Marietta Parks and Recreation,Public Park,Georgia Tech,1.43458574,{F6140BCA-94AC-45BB-953C-2A378FE3C8FD},2022/04/05 20:15:24+00,Public
95,Elizabeth Porter Recreation Center,Futuer New Elizabeth Porter Park,Cobb,Marietta,City of Marietta,Marietta Parks and Recreation,Recreational Facility,Cobb County,1.09798305,{DF784B81-0A25-4CE9-87A9-344AAAF268AC},2022/04/05 20:15:24+00,Public
96,Bouldercrest Park, ,DeKalb,Forest Park,DeKalb County,DeKalb County,Public Park,Georgia Tech,26.22227314,{7B949DC8-AEBB-4481-88A2-5581E321B6C9},2022/04/05 20:15:24+00,Public
97,Blackburn Park,Blackburn Tennis Center,DeKalb,Chamblee,DeKalb County,DeKalb County,Recreational Facility,Dekalb County,53.1986428,{F1FD00F5-7AE5-4DA1-B9FF-6145777A1444},2022/04/05 20:15:24+00,Public
98,Brook Run Park, ,DeKalb,Doraville,DeKalb County,DeKalb County,Public Park,Georgia Tech,103.76276378,{A03008C6-1879-4191-BEB3-7A794CCCDE54},2022/04/05 20:15:24+00,Public
